movie_id,movieTitle,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Total,x,y,movie_rating,movie_directors,movie_writers,movie_stars,movie_genres,release_year,anger-orig,anticipation-orig,disgust-orig,fear-orig,joy-orig,sadness-orig,surprise-orig,trust-orig,anger-per,anticipation-per,disgust-per,fear-per,joy-per,sadness-per,surprise-per,trust-per
424823,Balls of Fury,-0.166697534,0.064753922,0.0500357,-0.422189929,0.136203395,-0.654005621,0.891195982,-0.817464164,0.11705094,-8.809648,-14.813276,5.3,Robert Ben Garant,Thomas Lennon & Robert Ben Garant,Dan Fogler & Christopher Walken & George Lopez,Comedy & Crime & Sport,2007,562,1096,418,678,946,576,650,1021,33.60399021,48.70575072,53.07701644,41.03418819,43.17291432,22.45688841,57.58317352,25.32438851
424908,Copying Beethoven,-0.870195973,-0.553173622,-0.882403312,-1.564174543,1.05451989,0.898122521,-0.906791768,0.049838549,0.124272947,-22.961771,0.53422767,6.8,Agnieszka Holland,Stephen J. Rivele & Christopher Wilkinson,Ed Harris & Diane Kruger & Matthew Goode,Biography & Drama & Music,2007,202,458,143,228,507,355,227,516,22.90072262,40.13235553,38.68962816,20.79942746,59.74375785,43.17439565,38.54555001,38.58040186
424993,Employee of the Month,-0.671613556,1.513154511,0.053414618,-0.89766004,0.914317513,-1.35153257,1.379410689,0.294098233,0.109854231,-32.37708,-21.327765,5.5,Greg Coolidge,Don Calame & Chris Conroy,Jessica Simpson & Dane Cook & Dax Shepard,Comedy & Romance,2006,411,1086,357,513,940,409,588,1012,25.92202392,68.80148972,53.12915262,32.6093602,57.21383307,13.14643315,62.75253455,42.31371156
425027,Flywheel,-0.778969377,0.741106376,-0.866365201,-1.015438078,0.463111193,-1.273810988,-0.395977619,2.627975428,0.119328022,-39.845543,12.047338,6.9,Alex Kendrick,Alex Kendrick & Stephen Kendrick,Rosetta Harris Armstrong & Lisa Arnold & Blake Bailey,Drama,2003,164,416,113,206,357,173,193,541,24.28867548,58.08975849,38.93709371,30.52245782,49.07190229,14.18384584,43.95420057,77.98511764
425061,Get Smart,-1.052646637,-0.411491383,-0.61002423,-1.303640563,0.299240533,-1.4812418,0.337344358,0.807225513,0.115415407,-35.619884,5.116702,6.5,Peter Segal,Tom J. Astle & Matt Ember,Steve Carell & Anne Hathaway & Alan Arkin,Action & Adventure & Comedy,2008,1244,3066,1019,1603,2891,1363,1789,3729,20.12485537,42.09811647,42.89239485,25.41581429,46.11488794,11.41509936,51.71882951,50.15644279
425112,Hot Fuzz,-0.153347271,-0.611152486,-0.230995235,0.316760207,-0.154530073,-1.086776057,1.078274425,0.019809884,0.12368762,5.060557,-10.168132,7.9,Edgar Wright,Edgar Wright & Simon Pegg,Simon Pegg & Nick Frost & Martin Freeman,Action & Comedy,2007,2276,4089,1554,3297,3582,2082,2683,4621,33.80710572,39.32793158,48.74075303,54.12760381,37.92668511,16.68035205,59.56401514,38.12143825
425123,Just Like Heaven,-1.611895233,1.596463368,-2.221255577,-0.421686778,1.898451923,-0.31901858,1.670520509,1.397228413,0.113528459,-47.653103,-23.85517,6.7,Mark Waters,Peter Tolan & Leslie Dixon,Reese Witherspoon & Mark Ruffalo & Donal Logue,Comedy & Fantasy & Romance,2005,531,2051,345,1084,2076,995,1139,2158,11.61625459,69.95735301,18.03134686,41.04310348,74.97234815,26.92823085,65.834891,59.17415507
425196,Like Minds,0.16901074,-1.046679231,1.267695761,0.565377946,-1.476860477,0.620450916,0.361804586,-1.146854403,0.124143089,34.957325,7.364445,6.4,Gregory Read,Gregory Read,Eddie Redmayne & Tom Sturridge & Toni Collette,Crime & Horror & Mystery & Thriller,2006,157,245,152,222,159,192,155,248,38.71157153,33.28524431,71.86532097,58.53284744,14.06548873,39.46808859,51.9778216,20.28992783
425210,Lucky Number Slevin,0.171337882,0.091553841,-0.466606709,0.262474811,-0.383756047,-0.405910751,0.852246094,-0.566441774,0.114783374,17.05635,5.864586,7.8,Paul McGuigan,Jason Smilovic,Josh Hartnett & Ben Kingsley & Morgan Freeman,Crime & Drama & Mystery & Thriller,2006,2058,3674,1202,2694,2814,2040,2162,3537,38.74697748,49.07758445,45.10530478,53.16572395,33.79034675,25.76841091,57.17076064,29.16106065
425253,Mini`s First Time,0.390829717,0.414264514,1.683067974,-0.03192681,0.069347314,0.745871414,1.034751035,1.362175665,0.111489625,-5.7605166,-27.318665,5.9,Nick Guthe,Nick Guthe,Alec Baldwin & Nikki Reed & Carrie-Anne Moss,Comedy & Crime & Drama,2007,60,105,62,69,86,71,61,124,42.08640185,53.55501251,78.27444933,47.94923829,41.96650925,41.14217723,59.10317668,58.63840246
