movie_id,movieTitle,anticipation,joy,trust,anger,fear,disgust,sadness,surprise,Total,x,y,movie_rating,movie_directors,movie_writers,movie_stars,movie_genres,release_year,anticipation-orig,joy-orig,trust-orig,anger-orig,fear-orig,disgust-orig,sadness-orig,surprise-orig,anticipation-per,joy-per,trust-per,anger-per,fear-per,disgust-per,sadness-per,surprise-per,anger-Percentile,anticipation-Percentile,disgust-Percentile,fear-Percentile,joy-Percentile,sadness-Percentile,surprise-Percentile,trust-Percentile
996967,Otis,-0.411562133,-1.267478172,-1.504486657,1.956646526,1.442437503,2.03766373,2.146033586,0.719188576,0.126813485,52.35501,20.00672,6.1,Tony Krantz,Erik Jendresen & Thomas Schnauz,Tarah Paige & Bostin Christopher & Ashley Johnson,Comedy & Crime & Horror & Thriller,2008,323,207,286,280,338,232,300,198,42.09713486,17.84375193,14.82381104,65.90927818,74.07341608,83.74580644,59.83127199,55.76190848,97.48,34.03,97.92,92.54,10.25,98.41,76.4,6.62
997047,College Road Trip,0.290310176,1.065979701,0.178592554,-0.489281495,-0.749475178,0.660992812,-0.551953323,-0.279917815,0.121062819,-19.406624,-14.575727,4.2,Roger Kumble,Emi Mochizuki & Carrie Lee Wilson,Raven-Symon? & Martin Lawrence & Kym Whitley,Adventure & Comedy & Drama & Family,2008,396,399,412,180,220,176,208,196,51.83521618,59.95054793,40.54830163,28.69608671,35.23503937,62.50398924,23.81906281,45.18307593,31.23,61.42,74.57,22.68,85.68,29.05,38.98,57.09
997152,The Experiment,0.09407011,-1.725062909,0.08515338,1.376028924,1.760190464,0.852651574,0.736914363,0.345642787,0.13262662,37.73287,16.288277,6.4,Paul Scheuring,Paul Scheuring & Mario Giordano,Adrien Brody & Cam Gigandet & Forest Whitaker,Drama & Thriller,2010,1110,579,1166,815,1188,533,776,612,49.11249625,9.586723847,39.12016021,57.07556197,79.70366282,65.46125399,41.02262023,51.80669572,91.56,53.75,80.31,96.08,4.23,76.94,63.52,53.39
999913,Straw Dogs,-1.219174426,-0.952876328,-0.984976171,1.597256807,0.889491643,0.54607768,0.56086302,-0.731977521,0.122756507,43.337368,-0.9920817,5.8,Rod Lurie,Rod Lurie & David Zelag Goodman,James Marsden & Kate Bosworth & Alexander Skarsg?rd,Action & Drama & Thriller,2011,1272,986,1349,1141,1279,654,1008,704,30.89197105,23.52068135,22.76410435,60.4413992,64.2757997,60.7308667,38.67272085,40.39653471,94.49,11.14,70.75,81.31,17.03,71.26,23.21,16.23
1000771,Recount,-0.081017936,-0.894449271,1.886835182,1.252409677,-0.700566218,-0.483248909,-0.163735115,-0.473132247,0.12344919,11.928369,-15.744144,7.5,Jay Roach,Danny Strong,Kevin Spacey & Bob Balaban & Denis Leary,Drama & History,2008,720,494,950,526,422,239,430,361,46.68324863,24.5749863,66.65739452,55.19477617,36.10165447,44.84851824,29.00092461,43.13726466,89.48,46.77,31.45,24.18,18.55,43.5,31.81,97.04
1000774,Sex and the City,0.754317089,0.685326158,1.623225665,-0.938661082,-1.129503352,-0.502405709,-0.804331708,-0.829415987,0.116984059,-45.515995,-11.05781,5.5,Michael Patrick King,Michael Patrick King & Candace Bushnell,Sarah Jessica Parker & Kim Cattrall & Cynthia Nixon,Comedy & Drama & Romance,2008,4377,3916,5131,1629,2103,1320,2059,1899,58.27304967,53.08172836,62.62833843,21.85907088,28.50134169,44.55293181,20.45036478,39.36482755,17.4,77.47,30.77,12.93,75.34,21.06,20.34,94.77
1001508,He`s Just Not That Into You,1.184900756,1.045569608,1.54327635,-0.981766107,-0.941687928,-0.489420701,-0.93892532,-0.169736185,0.109581517,-45.518967,-12.860936,6.4,Ken Kwapis,Abby Kohn & Marc Silverstein,Jennifer Aniston & Jennifer Connelly & Morgan Lily,Comedy & Drama & Romance,2009,1953,1787,2173,685,942,566,850,895,64.24715452,59.58225175,61.40637847,21.20325617,31.82923255,44.75328846,18.65383518,46.34971146,16.31,88.2,31.23,17.32,85.21,17.39,43.26,93.86
1001526,Megamind,0.783090047,1.641158142,-0.367282315,-0.488109672,-0.036036196,-0.259332943,-0.761450915,1.612461805,0.121286163,-26.005804,-19.635056,7.3,Tom McGrath,Alan Schoolcraft & Brent Simons,Will Ferrell & Jonah Hill & Brad Pitt,Animation & Action & Comedy & Family & Sci-Fi,2010,1791,1887,1646,773,1131,578,849,1071,58.67225819,70.32953164,32.20505026,28.71391522,47.87642432,48.30350661,21.02272933,65.22014836,31.27,78.32,39.77,48.56,94.96,22.32,94.66,35.67
1007028,Zack and Miri Make a Porno,0.342820159,1.048456953,1.328648521,-0.96803878,-1.659989884,0.467617632,-1.475456944,-0.113702953,0.117574886,-44.4488,-7.391148,6.6,Kevin Smith,Kevin Smith,Seth Rogen & Elizabeth Banks & Craig Robinson,Comedy & Romance,2008,2413,2410,2861,928,1059,1008,987,1216,52.5637625,59.63435333,58.12596745,21.41210845,19.10168086,59.52024042,11.49231449,46.94300782,16.65,63.41,68,4.85,85.28,7,45.47,90.8
1007029,The Iron Lady,-0.997607293,-1.132321184,0.242196786,-0.214596547,-0.265136503,-0.661531934,0.225894309,-1.764539899,0.119107569,17.649088,-13.901618,6.4,Phyllida Lloyd,Abi Morgan,Meryl Streep & Jim Broadbent & Richard E. Grant,Biography & Drama & History,2012,2693,1929,3284,1545,1966,947,1945,1218,33.96608971,20.28263364,41.52044035,32.87523813,43.81700895,42.09763902,34.20162306,29.46346033,41.5,15.92,25.41,39.55,12.87,58.94,3.88,59.57
1010048,Slumdog Millionaire,0.031925932,0.548119564,0.648426247,-0.515387895,-0.595817371,0.544646342,-0.53645315,0.106742955,0.126785324,-15.903783,-16.348446,8,Danny Boyle & Loveleen Tandan,Simon Beaufoy & Vikas Swarup,Dev Patel & Freida Pinto & Saurabh Shukla,Drama & Romance,2008,9259,8720,10503,4295,5502,4093,5022,4978,48.25028093,50.60586192,47.72932576,28.29889494,37.95769336,60.70878138,24.02595613,49.27715397,30.31,51.27,70.7,27.56,70.82,29.58,54.25,74.16
1010271,The Poughkeepsie Tapes,-0.494750543,-1.56156702,-0.593039276,1.746943985,1.673887613,1.534375508,2.119929648,0.033359411,0.12611336,52.3154,14.2420225,6.1,John Erick Dowdle,Drew Dowdle & John Erick Dowdle,Stacy Chbosky & Ben Messmer & Samantha Robson,Horror & Mystery & Thriller,2009,656,387,673,553,735,411,613,371,40.94294271,12.53697554,28.75453956,62.71879148,78.17446749,75.9801478,59.48284166,48.50014741,95.97,31.04,93.75,95.29,5.92,98.3,51.33,27.66
1012804,Redbelt,-0.403176885,-0.53562323,0.222391176,1.315612908,0.032645078,-0.8608702,-0.257532865,0.308485318,0.136816599,11.328857,-12.854388,6.8,David Mamet,David Mamet,Chiwetel Ejiofor & Tim Allen & Emily Mortimer,Drama & Sport,2008,1202,939,1360,923,880,371,730,698,42.21347542,31.04993281,41.21772779,56.1563719,49.09338392,39.02188071,27.74893033,51.41326149,90.58,34.34,19.47,51.3,29.61,39.84,62.11,58.8
1013743,Knight and Day,0.716325407,0.186408314,-0.592464181,-0.882940916,-0.560984468,-0.998475271,-1.071855183,0.337784226,0.120938706,-34.830482,-1.3929117,6.3,James Mangold,Patrick O`Neill,Tom Cruise & Cameron Diaz & Peter Sarsgaard,Action & Comedy & Romance,2010,3358,2731,3012,1280,1870,880,1480,1730,57.74593657,44.07885237,28.76332942,22.70681667,38.5748956,36.89865596,16.87951299,51.72348696,18.86,76.31,15.9,28.74,57.39,14.19,63.22,27.68
1013752,Fast & Furious,0.604622961,-0.554735431,0.059985821,-0.097466186,-0.235922028,-0.095732294,-0.802967463,0.136486313,0.108952994,-2.9154193,-7.17131,6.6,Justin Lin,Chris Morgan & Gary Scott Thompson,Vin Diesel & Paul Walker & Michelle Rodriguez,Action & Crime & Thriller,2009,1975,1373,1957,974,1208,681,944,1002,56.1961283,30.70505683,38.73549462,34.65729978,44.33465856,50.82783907,20.46857445,49.59208541,46.12,72.73,46.19,40.67,28.95,21.1,55.43,52.39
1013753,Milk,-0.191421455,-0.127779468,1.904334997,-0.132229704,-0.520670378,-1.137329067,-1.025027923,-0.835520131,0.116699491,-34.12268,13.886295,7.6,Gus Van Sant,Dustin Lance Black,Sean Penn & Josh Brolin & Emile Hirsch,Biography & Drama & History,2009,1713,1437,2293,913,1064,476,844,823,45.15146226,38.40939462,66.92486489,34.12839566,39.28921868,34.75616358,17.50455423,39.30019508,44.74,42.41,12.77,30.13,44.92,15.27,20.17,97.16
1013860,Dylan Dog: Dead of Night,-1.425380914,-0.679424464,-0.474204115,0.667765059,0.977263236,1.1854264,0.370715519,-0.230089627,0.110193742,35.416397,-1.1261743,5.1,Kevin Munroe,Thomas Dean Donnelly & Joshua Oppenheimer,Brandon Routh & Anita Briem & Sam Huntington,Action & Comedy & Crime & Fantasy & Horror & Mystery & Sci-Fi & Thriller,2011,550,471,645,418,581,350,432,337,28.03097265,28.45506736,30.57083791,46.29979155,65.83101959,70.59591758,36.13466865,45.71067146,74.79,7.7,88.21,83.58,24.84,64.46,40.9,31.77
1014759,Alice in Wonderland,0.116554461,0.362788663,-0.62834491,-0.604579619,-0.551947682,-0.247432424,-0.381746294,-0.273898917,0.108032526,-14.523134,-3.4778583,6.5,Tim Burton,Linda Woolverton & Lewis Carroll,Mia Wasikowska & Johnny Depp & Helena Bonham Carter,Adventure & Family & Fantasy,2010,7330,6592,6976,3274,4363,2549,4081,3701,49.42445391,47.26160166,28.2149218,26.94190134,38.7350179,48.48712976,26.09095342,45.2468058,27.27,54.64,40.23,29.05,64.16,35.13,39.21,26.49
1014775,Beverly Hills Chihuahua,1.113845354,1.502060197,-0.166378035,-0.25639538,-0.478654564,0.23689443,-0.76633938,-0.067361808,0.116100094,-27.6075,-15.549858,3.7,Raja Gosnell,Analisa LaBianco & Jeffrey Bushell,Drew Barrymore & George Lopez & Piper Perabo,Adventure & Comedy & Drama & Family & Romance,2008,771,768,704,345,421,278,353,361,63.26130101,67.81953613,35.27570804,32.23929629,40.0336945,55.96021746,20.95747904,47.4336815,39.88,86.73,59.36,31.61,93.35,22.17,47.31,43.39
1015474,Train,-0.543123335,-1.095261276,-2.164353755,2.252626705,1.875323805,2.52269421,2.356444566,0.243564112,0.127275344,54.18258,19.558004,4.8,Gideon Raff,Gideon Raff,Thora Birch & Gideon Emery & Kavan Reece,Horror & Thriller,2009,463,317,372,429,549,389,450,271,40.27179758,20.95137251,4.73828157,70.41242259,81.74370396,91.22975099,62.6397972,50.72585666,98.79,29.35,99.42,96.96,13.67,99.08,59.62,1.52
1016075,Fame,0.22547334,0.635845008,1.406763449,-1.014116809,-1.793413924,-0.969049793,0.321495317,-0.283559273,0.120708932,-28.61346,-1.4859115,5,Kevin Tancharoen,Allison Burnett & Christopher Gore,Kelsey Grammer & Bebe Neuwirth & Megan Mullally,Comedy & Drama & Musical & Romance,2009,833,781,1009,319,358,232,531,415,50.93564175,52.18885058,59.3198903,20.71106145,16.73754785,37.35268648,35.47768689,45.1445191,15.53,58.92,16.63,3.65,73.76,62.61,38.84,92.03
1017451,The Runaways,-0.868245283,0.100156932,0.00243884,-0.981750094,-1.297818138,-0.947514477,0.077221638,-1.203997234,0.10892351,-19.559763,16.637959,6.6,Floria Sigismondi,Floria Sigismondi & Cherie Currie,Kristen Stewart & Dakota Fanning & Michael Shannon,Biography & Drama & Music,2010,1247,1192,1451,549,690,397,860,612,35.76091443,42.52246286,37.85593604,21.2034998,25.51898152,37.68497305,32.21716891,35.39865106,16.31,19.26,17.17,9.72,53.99,53.08,11.43,50.1
1017464,The Tortured,0.984623548,-1.764942712,-2.474365849,4.197342592,2.905650255,2.780956329,5.155421367,1.578895897,0.142684564,57.88337,24.390865,5.5,Robert Lieberman,Marek Posival,Erika Christensen & Jesse Metcalfe & Bill Lippincott,Horror & Thriller,2012,329,154,211,342,428,252,376,192,61.46842154,8.867100527,0,100,100,95.21469513,100,64.86474264,100,83.76,99.73,99.82,3.88,100,94.28,0.67
